cell_type_1,cell_type_2,effect_size,p_value,mean_I_infected,mean_I_uninfected,delta_I,p_adj_fdr,significant,neg_log10_padj
CD8-Tcell_late-active,Myeloid_Macrophage-CXCL9/10,0.24974971632453924,0.0,0.24974971632453924,0.2615869333772725,-0.011837217052733273,0.0,True,300.0
CD8-Tcell_late-active,Myeloid_Macrophage,0.24276779293359302,0.0,0.24276779293359302,0.174491558628664,0.06827623430492902,0.0,True,300.0
CD8-Tcell_terminal,Myeloid_Macrophage-CXCL9/10,-0.23643129133796897,0.0,-0.23643129133796897,0.24652641877335124,-0.4829577101113202,0.0,True,300.0
CD8-Tcell_early-active,Fibroblast_stromal,-0.23550600638593033,0.0,-0.23550600638593033,0.008833949035469694,-0.24433995542140002,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,CD8-Tcell_effector,0.23297631957118514,0.0,0.23297631957118514,0.2088790798699658,0.024097239701219353,0.0,True,300.0
CD4-Tcell_TH17,CD8-Tcell_Gamma-Delta-CD8,0.23179691297925265,0.0,0.23179691297925265,0.4088088714077375,-0.17701195842848483,0.0,True,300.0
CD8-Tcell_Gamma-Delta-active,Myeloid_marginalzone,0.2314604092949049,0.0,0.2314604092949049,0.22535780394106925,0.006102605353835666,0.0,True,300.0
CD8-Tcell_proliferating,Myeloid_Macrophage-CXCL9/10,-0.23107778124280448,0.0,-0.23107778124280448,0.2007552631592075,-0.431833044402012,0.0,True,300.0
CD4-Tcell_FH,CD8-Tcell_effector,-0.22990829848123467,0.0,-0.22990829848123467,0.19617171117282922,-0.4260800096540639,0.0,True,300.0
CD8-Tcell_effector,CD8-Tcell_proliferating,-0.22553557023895593,0.0,-0.22553557023895593,0.3009444170731279,-0.5264799873120838,0.0,True,300.0
CD8-Tcell_terminal,Erythrocyte_precursor,-0.2188688533542555,0.0,-0.2188688533542555,-0.1247129238570351,-0.09415592949722039,0.0,True,300.0
CD8-Tcell_Gamma-Delta-active,Myeloid_monocyte,0.2186737603186622,0.0,0.2186737603186622,0.21780618076012195,0.000867579558540249,0.0,True,300.0
CD8-Tcell_Gamma-Delta-Il4,Myeloid_moDC,0.2150703301677394,0.0,0.2150703301677394,0.0826779014374725,0.1323924287302669,0.0,True,300.0
CD4-Tcell_TH17,CD8-Tcell_effector,0.21254157146053299,0.0,0.21254157146053299,0.23126127154171255,-0.01871970008117957,0.0,True,300.0
CD8-Tcell_proliferating,Myeloid_moDC,-0.21114455406973476,0.0,-0.21114455406973476,0.23811275467581142,-0.44925730874554615,0.0,True,300.0
CD8-Tcell_proliferating,Myeloid_moDC-CXCL9/10,0.2105176033855924,0.0,0.2105176033855924,0.14149715309471503,0.06902045029087736,0.0,True,300.0
CD8-Tcell_Gamma-Delta-active,Fibroblast_stromal,0.20748172089441091,0.0,0.20748172089441091,0.24717703741165759,-0.03969531651724667,0.0,True,300.0
CD8-Tcell_terminal,Hematopoeitic_stem_cell,-0.20634251975837997,0.0,-0.20634251975837997,-0.12258479621296782,-0.08375772354541215,0.0,True,300.0
CD8-Tcell_terminal,NK,-0.20617061344902127,0.0,-0.20617061344902127,0.13985753549239124,-0.34602814894141254,0.0,True,300.0
CD8-Tcell_proliferating,Myeloid_cDC1,-0.20435511299374096,0.0,-0.20435511299374096,0.19155951280811845,-0.39591462580185943,0.0,True,300.0
CD8-Tcell_early-active,Myeloid_Macrophage-CXCL9/10,-0.19669208418159007,0.0,-0.19669208418159007,0.19903796877730928,-0.39573005295889935,0.0,True,300.0
Bcell_GC,CD8-Tcell_Gamma-Delta-Il4,-0.1962852025344059,0.0,-0.1962852025344059,0.25534253909224613,-0.45162774162665204,0.0,True,300.0
Bcell_naive,CD8-Tcell_effector,-0.19531085094269496,0.0,-0.19531085094269496,0.11051353576624301,-0.30582438670893797,0.0,True,300.0
CD8-Tcell_Gamma-Delta-Il4,Endothelial,0.1940520913591129,0.0,0.1940520913591129,0.051552293287177184,0.1424997980719357,0.0,True,300.0
Bcell_GC,CD8-Tcell_Gamma-Delta-active,-0.19354072631783587,0.0,-0.19354072631783587,0.23358742341461797,-0.42712814973245383,0.0,True,300.0
CD8-Tcell_Gamma-Delta-active,Myeloid_cDC1,0.19208415479542246,0.0,0.19208415479542246,0.21173778141993205,-0.01965362662450959,0.0,True,300.0
Bcell_memory,CD8-Tcell_late-active,-0.19129115974481387,0.0,-0.19129115974481387,0.20011703834041272,-0.3914081980852266,0.0,True,300.0
CD8-Tcell_terminal,Myeloid_Macrophage,-0.18963619657991326,0.0,-0.18963619657991326,0.1359174418822331,-0.32555363846214636,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,NK,0.18958955134855326,0.0,0.18958955134855326,0.13968990888713198,0.049899642461421284,0.0,True,300.0
CD8-Tcell_early-active,Hematopoeitic_stem_cell,-0.1893470528184047,0.0,-0.1893470528184047,-0.171290146145464,-0.018056906672940687,0.0,True,300.0
