cell_type_1,cell_type_2,effect_size,p_value,mean_I_infected,mean_I_uninfected,delta_I,p_adj_fdr,significant,neg_log10_padj
CD8-Tcell_effector,Myeloid_monocyte,0.32993038753933923,0.0,0.32993038753933923,0.25207617532750143,0.0778542122118378,0.0,True,300.0
Myeloid_Macrophage-CXCL9/10,Myeloid_migratory,-0.32931090111844863,0.0,-0.32931090111844863,0.218291529694656,-0.5476024308131047,0.0,True,300.0
CD8-Tcell_proliferating,Myeloid_marginalzone,-0.3263966833163138,0.0,-0.3263966833163138,0.2420493395038751,-0.5684460228201889,0.0,True,300.0
CD8-Tcell_terminal,Myeloid_migratory,0.32634172387738125,0.0,0.32634172387738125,0.3866439819542069,-0.060302258076825654,0.0,True,300.0
CD4-Tcell_cytotoxic,Myeloid_moDC,0.32395995273006917,0.0,0.32395995273006917,0.34409989743865715,-0.020139944708587987,0.0,True,300.0
Erythrocyte,Myeloid_cDC1,0.32359069802625673,0.0,0.32359069802625673,0.27942922187952424,0.04416147614673249,0.0,True,300.0
CD4-Tcell_naive,CD8-Tcell_terminal,0.3234048180231559,0.0,0.3234048180231559,0.4839756627899086,-0.1605708447667527,0.0,True,300.0
Erythrocyte_precursor,Myeloid_moDC,0.32061835687572626,0.0,0.32061835687572626,0.40701629119221683,-0.08639793431649057,0.0,True,300.0
Hematopoeitic_stem_cell,Myeloid_Macrophage,0.3196357368125847,0.0,0.3196357368125847,0.25626130215850956,0.06337443465407516,0.0,True,300.0
Bcell_naive,Erythrocyte,-0.31937950943717497,0.0,-0.31937950943717497,-0.17585332172503723,-0.14352618771213774,0.0,True,300.0
Erythrocyte_precursor,NK,0.31887914363654163,0.0,0.31887914363654163,0.36448988638048874,-0.04561074274394711,0.0,True,300.0
CD8-Tcell_effector,Erythrocyte_precursor,0.31807843347307474,0.0,0.31807843347307474,0.27091127802111387,0.047167155451960874,0.0,True,300.0
CD4-Tcell_FH,Erythrocyte,-0.31748368533515026,0.0,-0.31748368533515026,-0.10559542111153214,-0.21188826422361812,0.0,True,300.0
CD8-Tcell_late-active,Fibroblast_stromal,0.31563105579410067,0.0,0.31563105579410067,0.1607637578915587,0.15486729790254197,0.0,True,300.0
CD8-Tcell_effector,Myeloid_Macrophage-CXCL9/10,0.314727407343271,0.0,0.314727407343271,0.21657894461112218,0.0981484627321488,0.0,True,300.0
Myeloid_Macrophage,Myeloid_cDC1,0.3119826526044318,0.0,0.3119826526044318,0.262389085761048,0.049593566843383785,0.0,True,300.0
Bcell_naive,Myeloid_marginalzone,-0.30883800171032183,0.0,-0.30883800171032183,-0.11092026860334078,-0.19791773310698105,0.0,True,300.0
CD8-Tcell_terminal,Myeloid_marginalzone,-0.3087449656946202,0.0,-0.3087449656946202,-0.0503760507873999,-0.25836891490722025,0.0,True,300.0
Hematopoeitic_stem_cell,Myeloid_cDC1,0.30299483504919217,0.0,0.30299483504919217,0.26511810872500496,0.037876726324187204,0.0,True,300.0
CD8-Tcell_late-active,Endothelial,0.30262758665192346,0.0,0.30262758665192346,0.10670520711367387,0.1959223795382496,0.0,True,300.0
CD8-Tcell_effector,Myeloid_migratory,-0.2978414699143347,0.0,-0.2978414699143347,0.08328520295957738,-0.38112667287391205,0.0,True,300.0
Myeloid_cDC1,Myeloid_moDC,0.29772398275475054,0.0,0.29772398275475054,0.2934870680357303,0.004236914719020213,0.0,True,300.0
CD4-Tcell_cytotoxic,Myeloid_Macrophage-CXCL9/10,0.29589240155938457,0.0,0.29589240155938457,0.20164219329442792,0.09425020826495664,0.0,True,300.0
Fibroblast_stromal,Myeloid_monocyte,0.29511592521356766,0.0,0.29511592521356766,0.2825091538319717,0.012606771381595938,0.0,True,300.0
Myeloid_cDC1,Myeloid_migratory,-0.2928289148405758,0.0,-0.2928289148405758,0.030892085647617577,-0.3237210004881934,0.0,True,300.0
Myeloid_migratory,Myeloid_moDC-CXCL9/10,0.2908172561191784,0.0,0.2908172561191784,0.26478087623022206,0.02603637988895635,0.0,True,300.0
Fibroblast_piezo2,Myeloid_marginalzone,0.28903666881700874,0.0,0.28903666881700874,0.2951826603146275,-0.006145991497618741,0.0,True,300.0
Erythrocyte,Myeloid_Macrophage,0.2886325792851876,0.0,0.2886325792851876,0.26628965299828,0.022342926286907594,0.0,True,300.0
CD4-Tcell_TH1,CD4-Tcell_cytotoxic,0.28838053582555667,0.0,0.28838053582555667,0.29059373695443413,-0.0022132011288774622,0.0,True,300.0
CD8-Tcell_late-active,Myeloid_cDC1,0.2871062249960864,0.0,0.2871062249960864,0.12728534959845877,0.15982087539762763,0.0,True,300.0
CD4-Tcell_FH,CD8-Tcell_proliferating,0.28709837976363384,0.0,0.28709837976363384,0.2168934097682216,0.07020496999541223,0.0,True,300.0
CD8-Tcell_proliferating,Erythrocyte_precursor,-0.2870672144446874,0.0,-0.2870672144446874,0.21916108760827196,-0.5062283020529594,0.0,True,300.0
Endothelial,Myeloid_migratory,-0.2869837572020753,0.0,-0.2869837572020753,-0.08966028741470285,-0.19732346978737247,0.0,True,300.0
Bcell_memory,CD8-Tcell_effector,-0.28674012541808086,0.0,-0.28674012541808086,0.08747745917983318,-0.37421758459791404,0.0,True,300.0
Bcell_B1,NK,-0.28671545422067396,0.0,-0.28671545422067396,-0.030985324164634925,-0.25573013005603906,0.0,True,300.0
Bcell_memory,Myeloid_Macrophage-CXCL9/10,-0.2866172247933807,0.0,-0.2866172247933807,0.21717922939619455,-0.5037964541895752,0.0,True,300.0
Bcell_GC,Erythrocyte,-0.2852621077439985,0.0,-0.2852621077439985,-0.10140474832437188,-0.18385735941962664,0.0,True,300.0
Bcell_memory,CD8-Tcell_proliferating,0.2848377786555001,0.0,0.2848377786555001,0.09975133493314889,0.1850864437223512,0.0,True,300.0
CD4-Tcell_Treg,Erythrocyte,-0.28315117284830915,0.0,-0.28315117284830915,-0.15062448035721684,-0.1325266924910923,0.0,True,300.0
Fibroblast_piezo2,Fibroblast_stromal,0.2828442016218029,0.0,0.2828442016218029,0.2592885873351272,0.023555614286675686,0.0,True,300.0
CD8-Tcell_terminal,Erythrocyte,-0.27918889119953993,0.0,-0.27918889119953993,-0.09011178296766635,-0.18907710823187357,0.0,True,300.0
Bcell_naive,Myeloid_moDC-CXCL9/10,0.2785966011723032,0.0,0.2785966011723032,0.28177364100263824,-0.0031770398303350156,0.0,True,300.0
CD8-Tcell_proliferating,Fibroblast_stromal,-0.2763457176850239,0.0,-0.2763457176850239,0.22959372793351301,-0.5059394456185369,0.0,True,300.0
CD4-Tcell_FH,NK,-0.27576198148519004,0.0,-0.27576198148519004,0.12150865206755945,-0.3972706335527495,0.0,True,300.0
CD4-Tcell_FH,Erythrocyte_precursor,-0.2755757822336478,0.0,-0.2755757822336478,-0.13753044171448986,-0.13804534051915796,0.0,True,300.0
Bcell_B1,Fibroblast_stromal,-0.275365692456362,0.0,-0.275365692456362,-0.009279709770409296,-0.2660859826859527,0.0,True,300.0
Erythrocyte_precursor,Myeloid_Macrophage,0.2730314609520839,0.0,0.2730314609520839,0.2570626717143906,0.015968789237693293,0.0,True,300.0
CD8-Tcell_Gamma-Delta-active,CD8-Tcell_late-active,0.2722950394584164,0.0,0.2722950394584164,0.31336650244098596,-0.041071462982569584,0.0,True,300.0
CD4-Tcell_FH,Hematopoeitic_stem_cell,-0.27173383923373096,0.0,-0.27173383923373096,-0.13583133282275506,-0.1359025064109759,0.0,True,300.0
CD4-Tcell_cytotoxic,Myeloid_Macrophage,0.2714357481301184,0.0,0.2714357481301184,0.27681059790846807,-0.005374849778349677,0.0,True,300.0
Endothelial,Myeloid_monocyte,0.27118448254314376,0.0,0.27118448254314376,0.3124400521473434,-0.04125556960419963,0.0,True,300.0
CD8-Tcell_proliferating,NK,-0.270585578592929,0.0,-0.270585578592929,0.28075778534109214,-0.5513433639340211,0.0,True,300.0
CD4-Tcell_FH,Endothelial,-0.2690816900941766,0.0,-0.2690816900941766,-0.002232696581142349,-0.26684899351303426,0.0,True,300.0
Bcell_B1,Myeloid_Macrophage-CXCL9/10,-0.2681680137299136,0.0,-0.2681680137299136,0.1992808271173957,-0.4674488408473093,0.0,True,300.0
Bcell_naive,Erythrocyte_precursor,-0.26715976344185,0.0,-0.26715976344185,-0.2165301342165843,-0.050629629225265704,0.0,True,300.0
CD4-Tcell_Treg,CD8-Tcell_proliferating,0.26636983213326115,0.0,0.26636983213326115,0.18749073082441942,0.07887910130884174,0.0,True,300.0
CD4-Tcell_cytotoxic,Myeloid_migratory,-0.2662597533159496,0.0,-0.2662597533159496,0.04720848278080116,-0.31346823609675073,0.0,True,300.0
Bcell_naive,Fibroblast_stromal,-0.26558804329178237,0.0,-0.26558804329178237,0.04739339933003445,-0.3129814426218168,0.0,True,300.0
CD4-Tcell_TH1,Myeloid_marginalzone,0.26495828832309765,0.0,0.26495828832309765,0.1757342799647098,0.08922400835838784,0.0,True,300.0
CD8-Tcell_proliferating,Hematopoeitic_stem_cell,-0.26478239409146176,0.0,-0.26478239409146176,0.21361379801018104,-0.4783961921016428,0.0,True,300.0
Bcell_B1,CD8-Tcell_effector,-0.26477911498482565,0.0,-0.26477911498482565,0.036918260029712,-0.30169737501453764,0.0,True,300.0
Endothelial,Myeloid_Macrophage-CXCL9/10,0.26467756567076917,0.0,0.26467756567076917,0.14156635993652317,0.123111205734246,0.0,True,300.0
CD4-Tcell_TH17,CD8-Tcell_late-active,0.2644238086872907,0.0,0.2644238086872907,0.381314851010673,-0.11689104232338227,0.0,True,300.0
Bcell_GC,Myeloid_Macrophage,-0.2641022499496727,0.0,-0.2641022499496727,0.10902279589665781,-0.3731250458463305,0.0,True,300.0
CD4-Tcell_Treg,CD8-Tcell_naive,0.26356136509707184,0.0,0.26356136509707184,0.5099556270315184,-0.24639426193444658,0.0,True,300.0
Hematopoeitic_stem_cell,Myeloid_moDC-CXCL9/10,-0.26344337948429886,0.0,-0.26344337948429886,-0.10943928828378158,-0.15400409120051728,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,CD8-Tcell_late-active,0.26303741039481254,0.0,0.26303741039481254,0.3967414006378789,-0.13370399024306634,0.0,True,300.0
CD8-Tcell_early-active,Myeloid_marginalzone,-0.26266939993343386,0.0,-0.26266939993343386,-0.12602258510715486,-0.136646814826279,0.0,True,300.0
CD4-Tcell_cytotoxic,Hematopoeitic_stem_cell,0.2622251730138038,0.0,0.2622251730138038,0.326986389310191,-0.06476121629638715,0.0,True,300.0
Bcell_GC,Myeloid_monocyte,-0.2618312735733456,0.0,-0.2618312735733456,0.07668607910857977,-0.3385173526819254,0.0,True,300.0
Myeloid_migratory,Myeloid_monocyte,-0.26121022519268666,0.0,-0.26121022519268666,-0.10392988982785878,-0.15728033536482788,0.0,True,300.0
Bcell_GC,Erythrocyte_precursor,-0.2611246199956102,0.0,-0.2611246199956102,-0.13151397652445354,-0.12961064347115667,0.0,True,300.0
Myeloid_cDC1,Myeloid_monocyte,0.2608876472697659,0.0,0.2608876472697659,0.23923162851067747,0.021656018759088402,0.0,True,300.0
CD8-Tcell_Gamma-Delta-Il4,CD8-Tcell_Gamma-Delta-active,0.26050599987364254,0.0,0.26050599987364254,0.28723864511468983,-0.026732645241047293,0.0,True,300.0
Endothelial,Myeloid_moDC,0.2594722516236154,0.0,0.2594722516236154,0.32849653789385463,-0.06902428627023921,0.0,True,300.0
CD4-Tcell_FH,Myeloid_moDC,-0.2589068225598176,0.0,-0.2589068225598176,0.03642270353660837,-0.295329526096426,0.0,True,300.0
Bcell_naive,Hematopoeitic_stem_cell,-0.2582129377793249,0.0,-0.2582129377793249,-0.22676785566581642,-0.031445082113508493,0.0,True,300.0
Fibroblast_piezo2,Hematopoeitic_stem_cell,0.25813587057118875,0.0,0.25813587057118875,0.2631065452097622,-0.004970674638573425,0.0,True,300.0
Myeloid_moDC,Myeloid_monocyte,0.2576618640745759,0.0,0.2576618640745759,0.32595214316819576,-0.06829027909361984,0.0,True,300.0
CD4-Tcell_cytotoxic,CD8-Tcell_Gamma-Delta-CD8,0.2570473811375019,0.0,0.2570473811375019,0.19459205759504,0.062455323542461916,0.0,True,300.0
Bcell_memory,Myeloid_cDC1,-0.25615042916065855,0.0,-0.25615042916065855,0.025519655919014967,-0.2816700850796735,0.0,True,300.0
CD8-Tcell_Gamma-Delta-Il4,CD8-Tcell_late-active,0.2549258151537932,0.0,0.2549258151537932,0.3710433352677873,-0.11611752011399412,0.0,True,300.0
Myeloid_Macrophage,Myeloid_migratory,-0.25369599535416426,0.0,-0.25369599535416426,0.0683699840266298,-0.32206597938079407,0.0,True,300.0
Bcell_GC,Hematopoeitic_stem_cell,-0.25352684559210725,0.0,-0.25352684559210725,-0.143483741146089,-0.11004310444601825,0.0,True,300.0
CD4-Tcell_TH1,Endothelial,0.24989931203029003,0.0,0.24989931203029003,0.18650811166451148,0.06339120036577855,0.0,True,300.0
CD8-Tcell_late-active,Myeloid_Macrophage-CXCL9/10,0.24974971632453924,0.0,0.24974971632453924,0.2615869333772725,-0.011837217052733273,0.0,True,300.0
Bcell_GC,Bcell_naive,0.2475687068475625,0.0,0.2475687068475625,0.3980555009192384,-0.15048679407167592,0.0,True,300.0
CD4-Tcell_TH1,NK,0.24749976885227348,0.0,0.24749976885227348,0.26232905968916115,-0.014829290836887665,0.0,True,300.0
Bcell_memory,Myeloid_monocyte,-0.24652391589635464,0.0,-0.24652391589635464,0.008019931278589673,-0.2545438471749443,0.0,True,300.0
CD4-Tcell_TH1,Myeloid_cDC1,0.24431518146573739,0.0,0.24431518146573739,0.17934457067008652,0.06497061079565086,0.0,True,300.0
CD8-Tcell_late-active,Myeloid_Macrophage,0.24276779293359302,0.0,0.24276779293359302,0.174491558628664,0.06827623430492902,0.0,True,300.0
Myeloid_Macrophage,Myeloid_monocyte,0.24055875988412073,0.0,0.24055875988412073,0.22230220433752532,0.018256555546595415,0.0,True,300.0
CD8-Tcell_terminal,Myeloid_Macrophage-CXCL9/10,-0.23643129133796897,0.0,-0.23643129133796897,0.24652641877335124,-0.4829577101113202,0.0,True,300.0
Bcell_memory,Myeloid_pDC,0.235742646763275,0.0,0.235742646763275,0.16865044021180703,0.06709220655146797,0.0,True,300.0
CD8-Tcell_early-active,Fibroblast_stromal,-0.23550600638593033,0.0,-0.23550600638593033,0.008833949035469694,-0.24433995542140002,0.0,True,300.0
CD4-Tcell_TH17,CD4-Tcell_cytotoxic,0.23519399747639042,0.0,0.23519399747639042,0.20312170978832378,0.032072287688066636,0.0,True,300.0
Bcell_early,Bcell_naive,0.23391090806782128,0.0,0.23391090806782128,0.44150560852439014,-0.20759470045656886,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,CD8-Tcell_effector,0.23297631957118514,0.0,0.23297631957118514,0.2088790798699658,0.024097239701219353,0.0,True,300.0
CD4-Tcell_TH17,CD8-Tcell_Gamma-Delta-CD8,0.23179691297925265,0.0,0.23179691297925265,0.4088088714077375,-0.17701195842848483,0.0,True,300.0
CD4-Tcell_Treg,Erythrocyte_precursor,-0.23165232233822863,0.0,-0.23165232233822863,-0.18217253908648964,-0.04947978325173899,0.0,True,300.0
CD8-Tcell_Gamma-Delta-active,Myeloid_marginalzone,0.2314604092949049,0.0,0.2314604092949049,0.22535780394106925,0.006102605353835666,0.0,True,300.0
CD8-Tcell_proliferating,Myeloid_Macrophage-CXCL9/10,-0.23107778124280448,0.0,-0.23107778124280448,0.2007552631592075,-0.431833044402012,0.0,True,300.0
Bcell_B1,Bcell_GC,0.23090104662827754,0.0,0.23090104662827754,0.34601523741489076,-0.11511419078661322,0.0,True,300.0
CD4-Tcell_FH,CD8-Tcell_effector,-0.22990829848123467,0.0,-0.22990829848123467,0.19617171117282922,-0.4260800096540639,0.0,True,300.0
CD4-Tcell_cytotoxic,Erythrocyte,0.22866428877070644,0.0,0.22866428877070644,0.323765412839848,-0.09510112406914156,0.0,True,300.0
Myeloid_Macrophage-CXCL9/10,Myeloid_monocyte,0.22763884173067733,0.0,0.22763884173067733,0.12812432895954964,0.09951451277112769,0.0,True,300.0
Bcell_memory,CD4-Tcell_Treg,0.2257571659085496,0.0,0.2257571659085496,0.1850243899495812,0.040732775958968404,0.0,True,300.0
CD8-Tcell_effector,CD8-Tcell_proliferating,-0.22553557023895593,0.0,-0.22553557023895593,0.3009444170731279,-0.5264799873120838,0.0,True,300.0
CD4-Tcell_Treg,Hematopoeitic_stem_cell,-0.22477691837067598,0.0,-0.22477691837067598,-0.17294999606629918,-0.0518269223043768,0.0,True,300.0
Neutrophil,Neutrophil_Elane,0.22337390248447753,0.0,0.22337390248447753,0.2697936517282805,-0.04641974924380299,0.0,True,300.0
Bcell_GC,CD4-Tcell_TH1,-0.2212645000806296,0.0,-0.2212645000806296,0.23777899343130415,-0.45904349351193374,0.0,True,300.0
Bcell_early,Bcell_memory,0.2211720190161055,0.0,0.2211720190161055,0.4135500996248878,-0.1923780806087823,0.0,True,300.0
Bcell_naive,NK,-0.22077365567418633,0.0,-0.22077365567418633,0.0469786545497484,-0.26775231022393475,0.0,True,300.0
Bcell_B1,Myeloid_monocyte,-0.22005364434493835,0.0,-0.22005364434493835,-0.04093166724228264,-0.1791219771026557,0.0,True,300.0
CD8-Tcell_terminal,Erythrocyte_precursor,-0.2188688533542555,0.0,-0.2188688533542555,-0.1247129238570351,-0.09415592949722039,0.0,True,300.0
Fibroblast_piezo2,Myeloid_moDC,0.21870998527893648,0.0,0.21870998527893648,0.24701409438511035,-0.02830410910617387,0.0,True,300.0
CD8-Tcell_Gamma-Delta-active,Myeloid_monocyte,0.2186737603186622,0.0,0.2186737603186622,0.21780618076012195,0.000867579558540249,0.0,True,300.0
Myeloid_moDC-CXCL9/10,Myeloid_pDC,0.21804500602175325,0.0,0.21804500602175325,0.23435822726274672,-0.016313221240993464,0.0,True,300.0
Erythrocyte,Myeloid_pDC,-0.2174939558285643,0.0,-0.2174939558285643,-0.12258740376088809,-0.0949065520676762,0.0,True,300.0
Bcell_GC,CD4-Tcell_FH,0.2171215366897023,0.0,0.2171215366897023,0.24242918009631537,-0.025307643406613067,0.0,True,300.0
CD8-Tcell_Gamma-Delta-Il4,Myeloid_moDC,0.2150703301677394,0.0,0.2150703301677394,0.0826779014374725,0.1323924287302669,0.0,True,300.0
CD4-Tcell_TH17,CD8-Tcell_effector,0.21254157146053299,0.0,0.21254157146053299,0.23126127154171255,-0.01871970008117957,0.0,True,300.0
CD8-Tcell_proliferating,Myeloid_moDC,-0.21114455406973476,0.0,-0.21114455406973476,0.23811275467581142,-0.44925730874554615,0.0,True,300.0
CD8-Tcell_proliferating,Myeloid_moDC-CXCL9/10,0.2105176033855924,0.0,0.2105176033855924,0.14149715309471503,0.06902045029087736,0.0,True,300.0
Bcell_B1,Bcell_plasma,-0.21010079184332553,0.0,-0.21010079184332553,-0.02315578610502321,-0.1869450057383023,0.0,True,300.0
CD4-Tcell_FH,CD4-Tcell_cytotoxic,-0.20897585806149027,0.0,-0.20897585806149027,0.1605730582771886,-0.36954891633867887,0.0,True,300.0
Endothelial,Erythrocyte,0.20883437904737356,0.0,0.20883437904737356,0.30741778904670847,-0.0985834099993349,0.0,True,300.0
CD8-Tcell_Gamma-Delta-active,Fibroblast_stromal,0.20748172089441091,0.0,0.20748172089441091,0.24717703741165759,-0.03969531651724667,0.0,True,300.0
CD8-Tcell_terminal,Hematopoeitic_stem_cell,-0.20634251975837997,0.0,-0.20634251975837997,-0.12258479621296782,-0.08375772354541215,0.0,True,300.0
CD8-Tcell_terminal,NK,-0.20617061344902127,0.0,-0.20617061344902127,0.13985753549239124,-0.34602814894141254,0.0,True,300.0
CD8-Tcell_proliferating,Myeloid_cDC1,-0.20435511299374096,0.0,-0.20435511299374096,0.19155951280811845,-0.39591462580185943,0.0,True,300.0
Bcell_B1,Myeloid_Macrophage,-0.20409472038356885,0.0,-0.20409472038356885,0.02806151803323817,-0.23215623841680702,0.0,True,300.0
Bcell_B1,Bcell_early,0.2026558876543651,0.0,0.2026558876543651,0.41269769935421063,-0.21004181169984554,0.0,True,300.0
CD4-Tcell_Treg,Fibroblast_stromal,-0.20262337822172427,0.0,-0.20262337822172427,0.037503964054844866,-0.24012734227656912,0.0,True,300.0
Endothelial,Hematopoeitic_stem_cell,0.2012342110301703,0.0,0.2012342110301703,0.30450588333003636,-0.10327167229986606,0.0,True,300.0
Erythrocyte_precursor,Fibroblast_piezo2,0.20057509838552035,0.0,0.20057509838552035,0.27146450149609125,-0.0708894031105709,0.0,True,300.0
