cell_type_1,cell_type_2,effect_size,p_value,mean_I_infected,mean_I_uninfected,delta_I,p_adj_fdr,significant,neg_log10_padj
CD8-Tcell_effector,Myeloid_moDC-CXCL9/10,-0.11850854816712753,0.0,-0.11850854816712753,0.14844363587372084,-0.26695218404084836,0.0,True,300.0
CD8-Tcell_late-active,Myeloid_DC2,0.10257636621604853,0.0,0.10257636621604853,0.22093241205200437,-0.11835604583595584,0.0,True,300.0
CD8-Tcell_naive,Myeloid_monocyte,-0.10151087952169191,0.0,-0.10151087952169191,-0.074205067794479,-0.027305811727212914,0.0,True,300.0
CD8-Tcell_effector,Myeloid_pDC,-0.09812117799157963,0.0,-0.09812117799157963,0.12647799792567294,-0.22459917591725256,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,Myeloid_DC2,0.08098725992637797,0.0,0.08098725992637797,0.22245937313048575,-0.1414721132041078,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,Myeloid_pDC,0.06762325060284188,0.0,0.06762325060284188,0.3192592812925571,-0.2516360306897152,0.0,True,300.0
CD8-Tcell_naive,Myeloid_moDC-CXCL9/10,-0.06114253155341974,0.0,-0.06114253155341974,0.23211934554497007,-0.2932618770983898,0.0,True,300.0
CD8-Tcell_proliferating,Myeloid_DC2,0.02854221286824246,0.0,0.02854221286824246,0.1291459151338919,-0.10060370226564944,0.0,True,300.0
CD8-Tcell_naive,Myeloid_DC2,-0.022518526297080177,0.0,-0.022518526297080177,0.15349049865628117,-0.17600902495336135,0.0,True,300.0
CD8-Tcell_Gamma-Delta-CD8,Myeloid_migratory,-0.0217827889072936,0.0,-0.0217827889072936,0.37606487672974465,-0.3978476656370382,0.0,True,300.0
